Wall time,Step,Value
1573533668.3786972,6,-1.0
1573533670.0277123,19,-1.0
1573533671.267365,25,-1.0
1573533674.2366443,41,-1.0
1573533674.4625845,43,-1.0
1573533674.7053351,46,-1.0
1573533675.4814296,48,-1.0
1573533675.9104552,54,-1.0
1573533676.1242142,57,-1.0
1573533678.78684,72,-1.0
1573533679.0489676,75,-1.0
1573533682.5179932,95,-1.0
1573533683.7609859,103,-1.0
1573533684.1524465,106,-1.0
1573533684.1912735,107,-1.0
1573533685.4025886,114,-1.0
1573533688.2055209,127,-1.0
1573533689.87084,140,-1.0
1573533691.5478132,151,-1.0
1573533691.8952694,156,-1.0
1573533692.0284,159,-1.0
1573533693.2479744,168,-1.0
1573533693.3222258,169,-1.0
1573533695.091209,179,-1.0
1573533696.1264358,184,-1.0
1573533696.3577173,186,-1.0
1573533696.4759405,187,-1.0
1573533696.6639123,191,-1.0
1573533697.9708314,199,-1.0
1573533699.3334944,207,-1.0
1573533699.3748577,208,-1.0
1573533699.8292265,213,-1.0
1573533701.4082842,224,-1.0
1573533702.4489524,230,-1.0
1573533702.8995163,235,-1.0
1573533703.1341615,238,-1.0
1573533705.7609804,250,-1.0
1573533706.316551,256,-1.0
1573533707.3300657,261,-1.0
1573533707.8288546,268,-1.0
1573533709.3504999,272,-1.0
1573533709.5354853,274,-1.0
1573533715.7275813,293,-1.0
1573533716.2914326,298,-1.0
1573533716.397439,299,-1.0
1573533719.3768058,304,-1.0
1573533721.0302796,309,-1.0
1573533721.6055267,311,-1.0
1573533725.0128462,319,-1.0
1573533725.1117976,320,-1.0
1573533731.1344678,331,-1.0
1573533737.295806,340,-1.0
1573533741.4935193,348,1.0
1573533751.8461149,364,1.0
1573533755.2696888,368,-1.0
1573533762.0321505,378,-1.0
1573533764.5769615,380,-1.0
1573533796.6742442,422,1.0
1573533798.2981222,423,-1.0
1573533806.4822943,431,-1.0
1573533814.448104,440,0.0
1573533814.8863308,442,1.0
1573533816.3714118,443,-1.0
1573533819.9548295,446,-1.0
1573533822.493073,452,1.0
1573533831.9472783,461,-1.0
1573533834.6305661,464,-1.0
1573533834.8657084,465,-1.0
1573533844.914517,475,-1.0
1573533857.245655,492,-1.0
1573533857.8837395,494,-1.0
1573533877.2415493,508,-1.0
1573533882.684434,513,-1.0
1573533884.1700916,515,-1.0
1573533884.973489,518,-1.0
1573533891.9191692,526,-1.0
1573533895.0001867,532,1.0
1573533896.48097,534,1.0
